rank,hotspot address,packet count,name,owner,lat,lng,location,reward scale,city,country
67,112NSq6uAAAeLuWpMSJgMghcbkfBNEksih32AJPCjrtT3MHmTjaU,84288,steep-black-deer,13q6QwgGCLKGyCm4av1cpsnPmnkvT3cGWDWBdMMRMrdxZNn1qqs,37.82230606693672,23.781658140191247,8c1eda651a0dbff,0.9174346923828125,Vouliagmeni,Greece
68,11XjywLeaKxWiCUtQ9ZnAextgBFKT4UYww1fH51EKdQzUaPad8W,83017,daring-citron-barbel,13eNNnFea8EkHxhk8gmLPSYxxJRRfjbKeKtgPodzf6KYnBvokT3,50.586803170388286,8.655690667446665,8c1fac470d5bbff,0.7102203369140625,Gießen,Germany
69,11H31o88hBX8JZLHrqvcP52jqJYfp5qTuebWqDMFkz8qdRG8D34,82239,rough-sapphire-sloth,13EMTqYar39xRnH27uxjgE2noth1EBqwKfS5egPSh19RH9L3PUZ,44.79295542382801,20.462362307951516,8c1e1b28b6cebff,0.5316925048828125,Beograd,Serbia
70,11cwnrdMvwTJNPRG5M1r93JJESj8Yu7pJnoqTZRd16ppq1AEP5P,82010,tall-inky-elk,141MEuaQzWuXtyyFHtQgHpyar8TM7wpovEJcwtPSNwP1ExfCq3n,50.635256625995474,3.0331112973678214,8c194d66d22cbff,1.0,Lille,France
71,112WWx3PcX7LHrdSMVZvMkmgQSdCHfpsZvbWAaBT5JCKudVeesCM,81992,calm-flaxen-wasp,13Qi5XUxxZCg1PFNgYCfJ2isuFfdSvnTaWAphBENVpMMgQLCQQf,22.547245327096984,114.12876794199144,8c411cb9acb13ff,1.0,Shenzhen Shi,China
72,11wWMEUfhJENCxki4mDSkMF56ATxcXjy8hhYwLkDg3DTCJxQC84,81957,dazzling-mauve-weasel,13EMTqYar39xRnH27uxjgE2noth1EBqwKfS5egPSh19RH9L3PUZ,44.81531863794233,20.43799926779807,8c1e1b288786bff,0.1949615478515625,Belgrade,Serbia
73,112md9HBURgRHpsKkuNKgcSbDzaq2SgsvDTQ5VWey2jHLDGWndBu,81882,brilliant-brown-bison,138AGKAK3DXMuGYLwZfBhvGDG4ancNbHMnhbbdmbpuoTztrWNrF,37.99270219357799,23.78792386290501,8c1eda74d40e1ff,0.8359222412109375,Athina,Greece
74,11NAYhr4bie4XkBHnJUvwXb4P9qnHWMwKo4JEbzoGhesxaagRe5,81825,wobbly-green-mockingbird,14HFT8yYrkNwhsQ8E7uHQmPCEZjSZx5z3xLUchrrg8MgVv6zG32,37.9855578845018,23.738607310096274,8c1eda74ed087ff,0.581512451171875,Athina,Greece
75,11Tz179GMNmCxxZfBMADnJhiouiYHKeaWv8TXbBhroeYZSXEEyP,81770,decent-tangerine-goblin,13PKSLdNzReRNaC49JzjN9TVBC5KhNExDVzDMw9M2JNo2ns5vPZ,39.44257211471073,-0.36874246784555414,8c39540ab82b7ff,0.589630126953125,València,Spain
76,112wGV3wt3oKAtgE8z5S8Yv6YWp8XQ8Jx3qmgniJNrqhmC582Rty,81191,dandy-rainbow-aardvark,13VwFXCVmPiryyGWq68Lj5cBucvtAYeNuUD1NUzAzaQXVGgiyvM,24.866224142396618,120.98495931060029,8c4ba08d6001dff,1.0,Xinfeng Township,Taiwan
77,11X95KTF7GrnDTcE4nHPnmvwoZq2ydWpYFSRytTadLKz7h3BZqL,81178,shambolic-hazel-python,12wvEmvF2Yg8UtX8iUi6ycbZp9VReSkqBGJDfhqzpQz7Zv3S9RK,48.81181914025329,2.3419884293705873,8c1fb46736e37ff,0.214080810546875,Gentilly,France
78,112VF7BQ4K8EbZSfhuHdhbPjCZiwYvJ4LForUA9nWNBn14seVjd4,77720,short-gunmetal-starfish,13iecrGai56J5vmerj85mSNcJrVqZropMdevup49enDD2hVj2XM,37.873177926577945,23.759803221241828,8c1eda671728dff,0.688079833984375,Glifada,Greece
79,11QJiktvHLiVjomEdgnh5pLccKRDPr3ggopRVZs4Q54RysAcEah,77678,oblong-bronze-sidewinder,139iRB44T8smBafRx9NKZeeYV5pvSvY8ZexoE8fG6fMFyLn5WDp,44.83001044200275,20.41671933993921,8c1e1b28ea265ff,0.417755126953125,Beograd,Serbia
80,112MGLTrfbMpfmhc8p6DJki3zazdpQj4acUg4Wv37r5QF7VEQNFL,77597,spare-lime-mouse,13zkDooCxeGxAcFQcLzzsZhhyaevAzQF3dFSayDc3vsumNm2Drb,37.865228789506894,23.76863161001445,8c1eda64698b5ff,0.7673492431640625,Glifada,Greece
81,112D3qr8vxHWc5vwjr6ki3MeiNzFaNSM3BH7kaeBtuB3LKsq5uwM,76167,dry-merlot-peacock,14os6Db96BnbeiXsuewDrJ17VUzf1rLNaM4ubjiEmjZFNLXjS5q,59.37278422721258,17.87906096222567,8c08867525ae5ff,0.23809814453125,Hässelby-Vällingby,Sweden
82,112nzSqeeeuvrznaPiUB8r7sS6KBNsB7JYJZdXAdYb2x9tARsQ35,75821,scruffy-mustard-jay,146rtfxYX4SjdeTtAWNorahyAExYrsEs76EyMAM8aqQUxiPcfnp,44.83168245604923,20.4182751213343,8c1e1b28eb721ff,0.417755126953125,Beograd,Serbia
83,11iN1rf6GubeLYibuPGfCfL7iJqaQCeWq69Z6rnMkYbebjRoNHn,75315,cheery-burlap-nightingale,1326CWoLEEMJyymq3KNvHQ6Jr6ayEZsxhyoaorbt7XcQ61ngyQm,44.817366283650365,20.483892908301048,8c1e1b28928e3ff,0.584869384765625,Beograd,Serbia
84,11JL2th57hAi7tWE9Cj5hcJ4PC4tmuHMGnwRsKERm695aDNtWdc,75001,quick-mandarin-porpoise,146qxekgtjpqYdS799n2ZKtU37S3uY68kjj9mbrPtDTArYuWBg8,37.967664319109446,23.72736787189248,8c1eda75d99a9ff,0.8359222412109375,Athina,Greece
85,112qDAkUDjWwXfzKL16uFAtFkoSnxQQaoa5nHx47r964P5QQDYEL,74569,short-shadow-sidewinder,13g9XtVkKrbnJzKTqwCmuSedPHdtN1KjeVE8AoD7yQZvfJCeGab,25.039600935997093,-77.30907601447745,8c44b56aa3a81ff,1.0,Nassau,The Bahamas
86,117EtDfZaVbaK23LEQBewvjGgwgUi8P3fyb4y3gXeXNb2hGgSdd,74362,muscular-hazelnut-parrot,13aJ7dWqMAk1wNxLa76XhWesPcsVFEDbCJu9e88VXmHy9N1TXV4,48.78546081995223,2.3521526484085267,8c1fb465032a9ff,0.244049072265625,Villejuif,France
87,11eCANYq8A32qrsJAxrQy3YUKhX9ePFGSoU3AgPRg1YKzgmYDq2,72955,digital-menthol-lizard,14hD8iS4Rhjcp4Hv37npEjUgoR1gWB4Rm36XWTrYNpazUeVCWes,37.998779925502184,23.768245836331307,8c1eda74c0561ff,0.8340301513671875,Athina,Greece
